State,Area name,Total.Population
Alabama,Alabama,996992
Arizona,Arizona Territory,9658
Arkansas,Arkansas,484471
California,California,560247
Colorado,Colorado Territory,39864
Connecticut,Connecticut,537454
Dakota,Dakota Territory,14181
Delaware,Delaware,125015
District of Columbia,District of Columbia,131700
Florida,Florida,187748
Georgia,Georgia,1184109
Idaho,Idaho Territory,14999
Illinois,Illinois,2539891
Indiana,Indiana,1680637
Iowa,Iowa,1194020
Kansas,Kansas,364399
Kentucky,Kentucky,1321011
Louisiana,Louisianna,726915
Maine,Maine,626915
Maryland,Maryland,780894
Massachusetts,Massachusetts,1457351
Michigan,Michigan,1184059
Minnesota,Minnesota,439706
Mississippi,Mississippi,827922
Missouri,Missouri,1721295
Montana,Montana Territory,20595
Nebraska,Nebraska,122993
Nevada,Nevada,42491
New Hampshire,New Hampshire,318300
New Jersey,New Jersey,906096
New Mexico,New Mexico Territory,91874
New York,New York,4382759
North Carolina,North Carolina,1071361
Ohio,Ohio,2665260
Oregon,Oregon,90923
Pennsylvania,Pennsylvania,3521951
Rhode Island,Rhode Island,217353
South Carolina,South Carolina,705606
Tennessee,Tennessee,1258520
Texas,Texas,818579
Utah,Utah Territory,86786
Vermont,Vermont,330551
Virginia,Virginia,1225163
Washington,Washington Territory,23955
West Virginia,West Virginia,442014
Wisconsin,Wisconsin,1054670
Wyoming,Wyoming Territory,9118
