State,Type,Frame,fill
Alabama,pie,TRUE,#5B3C68
Alabama,pie,TRUE,#999999
Alabama,pie,TRUE,#827E2B
Alabama,pie,FALSE,#5B3C68
Alabama,pie,FALSE,#999999
Alabama,pie,FALSE,#827E2B
California,mosaic,TRUE,#7F7F7F
California,mosaic,TRUE,#E72B8A
California,mosaic,TRUE,#86B858
California,mosaic,FALSE,#7F7F7F
California,mosaic,FALSE,#86B858
California,mosaic,FALSE,#E72B8A
Connecticut,spine,TRUE,#8C719B
Connecticut,spine,TRUE,#999999
Connecticut,spine,TRUE,#827E2B
Connecticut,spine,FALSE,#8C719B
Connecticut,spine,FALSE,#999999
Connecticut,spine,FALSE,#827E2B
Illinois,pie,TRUE,#B6B45E
Illinois,pie,TRUE,#999999
Illinois,pie,TRUE,#8C719B
Illinois,pie,FALSE,#B6B45E
Illinois,pie,FALSE,#999999
Illinois,pie,FALSE,#8C719B
Indiana,pie,TRUE,#8C719B
Indiana,pie,TRUE,#999999
Indiana,pie,TRUE,#827E2B
Indiana,pie,FALSE,#8C719B
Indiana,pie,FALSE,#999999
Indiana,pie,FALSE,#827E2B
Maine,mosaic,TRUE,#7F7F7F
Maine,mosaic,TRUE,#D95F04
Maine,mosaic,TRUE,#86B858
Maine,mosaic,FALSE,#7F7F7F
Maine,mosaic,FALSE,#D95F04
Maine,mosaic,FALSE,#86B858
Michigan,spine,TRUE,#999999
Michigan,spine,TRUE,#B6B45E
Michigan,spine,TRUE,#8C719B
Michigan,spine,FALSE,#999999
Michigan,spine,FALSE,#B6B45E
Michigan,spine,FALSE,#8C719B
Ohio,mosaic,TRUE,#5AB395
Ohio,mosaic,TRUE,#D95F04
Ohio,mosaic,TRUE,#7F7F7F
Ohio,mosaic,FALSE,#5AB395
Ohio,mosaic,FALSE,#D95F04
Ohio,mosaic,FALSE,#7F7F7F
Oregon,spine,TRUE,#827E2B
Oregon,spine,TRUE,#999999
Oregon,spine,TRUE,#5B3C68
Oregon,spine,FALSE,#827E2B
Oregon,spine,FALSE,#999999
Oregon,spine,FALSE,#5B3C68
