"State.Territory","out.width","out.height","in.width","in.height","Total.Area","Border.Area","UAPixperc","Year","State","Baptist","Christian","Congregational","Episcopal","Evangelical.Association","Friends","Jewish","Lutheran","Methodist","Mormon","New.Jerusalem","Presbyterian","Reformed.Late.Dutch","Reformed.Late.German","Roman.Catholic","Second.Adventist","Unitarian","United.Brethren.in.Christ","Universalist","Total","STATEICP","Total.above10.est","Unaccommodated","UAEstperc"
"Alabama",552,547,468,464,301944,84792,28.0820284556077,1870,"Alabama",190200,5750,650,15520,0,0,1650,0,218945,0,0,67615,0,0,6730,0,0,0,550,510810,"Alabama",708955.984404943,198145.984404943,27.9489825551378
"Arkansas",550,549,485,481,301950,68665,22.7405199536347,1870,"Arkansas",103800,14600,0,3695,0,0,300,1025,91890,0,0,33600,0,0,5250,0,0,0,200,264225,"Arkansas",344481.550410034,80256.550410034,23.297779028951
"California",550,550,369,365,302500,167815,55.4760330578512,1870,"California",16775,6380,11915,13095,200,500,3610,5350,43035,550,400,21798,0,0,66640,300,1400,100,160,195558,"California",435961.505695173,240403.505695173,55.1432873211665
"Connecticut",554,549,494,489,304146,62580,20.5756445917421,1870,"Connecticut",45150,750,133175,50962,0,350,1850,1240,63975,0,NA,3875,1300,250,26418,1380,225,0,6850,338735,"Connecticut",426304.615612283,87569.615612283,20.5415593463633
"Delaware",546,551,528,535,300846,18366,6.10478450768832,1870,"Delaware",2950,0,0,8975,0,3425,0,300,51924,0,300,13375,0,0,6000,0,300,0,350,87899,"Delaware",92658.1764705882,4759.17647058819,5.1362725361845
"Florida",550,551,429,429,303050,119009,39.2704174228675,1870,"Florida",21100,0,0,4600,0,0,0,0,42600,50,0,6620,0,0,3950,NA,0,0,0,78920,"Florida",130473.133464826,51553.133464826,39.5124514110977
"Georgia",551,554,539,539,305254,14733,4.82647238037831,1870,"Georgia",389165,10285,2800,10080,0,0,1400,3000,327343,0,NA,49575,0,0,5500,0,0,0,900,801148,"Georgia",829211.295057414,28063.295057414,3.38433584114058
"Illinois",551,552,441,440,304152,110112,36.2029511560009,1870,"Illinois",181454,85175,66137,30395,20176,1000,3950,74301,357073,688,1855,184849,4880,7170,136900,1300,5960,17995,15225,1201403,"Illinois",1812280.6841451,610877.6841451,33.7076750577004
"Indiana",552,553,502,508,305256,50240,16.4583169536389,1870,"Indiana",152375,122775,4800,10300,10925,29500,1900,62285,346125,0,100,128960,500,8880,86830,0,NA,33975,6300,1008380,"Indiana",1200083.61890576,191703.61890576,15.9741884553475
"Iowa",552,553,396,396,305256,148440,48.6280367953455,1870,"Iowa",50690,15750,33925,9584,2400,17075,150,12285,142655,200,0,64890,1500,3950,57280,2950,715,10445,4465,431709,"Iowa",842032.747797828,410323.747797828,48.7301413004363
"Kansas",543,552,345,355,299736,177261,59.1390423572744,1870,"Kansas",18540,4550,8350,3280,300,1600,300,1400,23525,NA,0,22810,0,275,14605,0,400,2200,NA,102135,"Kansas",260521.3839556,158386.3839556,60.7959245228766
"Kentucky",551,554,533,534,305254,20632,6.75896138953134,1870,"Kentucky",288936,141585,0,15800,3000,0,1500,1650,244918,0,0,100750,0,0,72550,0,700,0,400,878039,"Kentucky",935364.043176972,57325.043176972,6.12863447073152
"Louisiana",550,554,350,352,304700,181500,59.5667870036101,1870,"Louisiana",56140,800,4650,17100,0,0,2200,1650,52990,0,NA,14100,0,800,62525,0,1000,0,0,213955,"Louisiana",524190.953389831,310235.953389831,59.1837671717914
"Maine",551,553,482,485,304703,70933,23.2793900946167,1870,"Maine",117189,4922,83985,8975,0,0,7315,500,82530,NA,1200,0,0,0,17822,3175,9185,0,23910,376738,"Maine",499180.671566143,122442.671566143,24.5287284826129
"Maryland",552,555,510,510,306360,46260,15.0998824911868,1870,"Maryland",20730,1850,NA,61480,1000,7440,2750,40915,231530,0,900,32415,600,19980,62280,0,800,12100,1000,499770,"Maryland",576962.854426037,77192.8544260371,13.3791723043988
"Massachusetts",552,552,480,484,304704,72384,23.755513547574,1870,"Massachusetts",139035,9675,269314,46245,0,7950,1500,450,117325,NA,3800,5700,0,950,130415,3400,98306,100,35627,882317,"Massachusetts",1161483.70524963,279166.70524963,24.0353527120409
