"State","Total.Population","Occupation","Gender","Number","Total.Employed","Area.Name"
"Alabama",996992,"Agriculture","Male",226768,442397,"Alabama"
"Arizona Territory",9658,"Agriculture","Male",1284,6179,"Arizona"
"Arkansas",484471,"Agriculture","Male",100669,198521,"Arkansas"
"California",560247,"Agriculture","Male",47580,329651,"California"
"Colorado Territory",39864,"Agriculture","Male",6462,20199,"Colorado"
"Connecticut",537454,"Agriculture","Male",43523,293053,"Connecticut"
"Dakota Territory",14181,"Agriculture","Male",2522,7015,"Dakota"
"Delaware",125015,"Agriculture","Male",15907,60278,"Delaware"
"District of Columbia",131700,"Agriculture","Male",1350,68982,"District of Columbia"
"Florida",187748,"Agriculture","Male",36944,73481,"Florida"
"Georgia",1184109,"Agriculture","Male",262152,522171,"Georgia"
"Idaho Territory",14999,"Agriculture","Male",1462,11345,"Idaho"
"Illinois",2539891,"Agriculture","Male",375407,1290236,"Illinois"
"Indiana",1680637,"Agriculture","Male",266349,854598,"Indiana"
"Iowa",1194020,"Agriculture","Male",209907,650627,"Iowa"
"Kansas",364399,"Agriculture","Male",72918,186770,"Kansas"
"Kentucky",1321011,"Agriculture","Male",257426,595798,"Kentucky"
"Louisiana",726915,"Agriculture","Male",114530,307711,"Louisiana"
"Maine",626915,"Agriculture","Male",81956,363355,"Maine"
"Maryland",780894,"Agriculture","Male",79197,363978,"Maryland"
"Massachusetts",1457351,"Agriculture","Male",72756,867226,"Massachusetts"
"Michigan",1184059,"Agriculture","Male",187036,668008,"Michigan"
"Minnesota",439706,"Agriculture","Male",74663,229418,"Minnesota"
"Mississippi",827922,"Agriculture","Male",193725,357991,"Mississippi"
"Missouri",1721295,"Agriculture","Male",262595,829896,"Missouri"
"Montana Territory",20595,"Agriculture","Male",2110,14967,"Montana"
"Nebraska",122993,"Agriculture","Male",23083,61785,"Nebraska"
"Nevada",42491,"Agriculture","Male",2063,29803,"Nevada"
"New Hampshire",318300,"Agriculture","Male",46562,185992,"New Hampshire"
"New Jersey",906096,"Agriculture","Male",62943,454121,"New Jersey"
"New Mexico Territory",91874,"Agriculture","Male",18432,31241,"New Mexico"
"New York",4382759,"Agriculture","Male",373455,2337763,"New York"
"North Carolina",1071361,"Agriculture","Male",241010,416586,"North Carolina"
"Ohio",2665260,"Agriculture","Male",396267,1486513,"Ohio"
"Oregon",90923,"Agriculture","Male",13232,48728,"Oregon"
"Pennsylvania",3521951,"Agriculture","Male",258772,1745543,"Pennsylvania"
"Rhode Island",217353,"Agriculture","Male",11767,123484,"Rhode Island"
"South Carolina",705606,"Agriculture","Male",147708,304866,"South Carolina"
"Tennessee",1258520,"Agriculture","Male",247953,488692,"Tennessee"
"Texas",818579,"Agriculture","Male",152722,302325,"Texas"
"Utah Territory",86786,"Agriculture","Male",10417,36142,"Utah"
"Vermont",330551,"Agriculture","Male",57889,178962,"Vermont"
"Virginia",1225163,"Agriculture","Male",228082,483505,"Virginia"
"Washington Territory",23955,"Agriculture","Male",3759,13292,"Washington"
"West Virginia",442014,"Agriculture","Male",73725,197422,"West Virginia"
"Wisconsin",1054670,"Agriculture","Male",158300,553410,"Wisconsin"
"Wyoming Territory",9118,"Agriculture","Male",164,7009,"Wyoming"
"Alabama",996992,"Agriculture","Female",64860,442397,"Alabama"
"Arizona Territory",9658,"Agriculture","Female",1,6179,"Arizona"
"Arkansas",484471,"Agriculture","Female",8641,198521,"Arkansas"
"California",560247,"Agriculture","Female",283,329651,"California"
"Colorado Territory",39864,"Agriculture","Female",0,20199,"Colorado"
"Connecticut",537454,"Agriculture","Female",130,293053,"Connecticut"
"Dakota Territory",14181,"Agriculture","Female",0,7015,"Dakota"
"Delaware",125015,"Agriculture","Female",66,60278,"Delaware"
"District of Columbia",131700,"Agriculture","Female",15,68982,"District of Columbia"
"Florida",187748,"Agriculture","Female",5548,73481,"Florida"
"Georgia",1184109,"Agriculture","Female",73993,522171,"Georgia"
"Idaho Territory",14999,"Agriculture","Female",0,11345,"Idaho"
"Illinois",2539891,"Agriculture","Female",1034,1290236,"Illinois"
"Indiana",1680637,"Agriculture","Female",428,854598,"Indiana"
"Iowa",1194020,"Agriculture","Female",356,650627,"Iowa"
"Kansas",364399,"Agriculture","Female",310,186770,"Kansas"
"Kentucky",1321011,"Agriculture","Female",3654,595798,"Kentucky"
"Louisiana",726915,"Agriculture","Female",26937,307711,"Louisiana"
"Maine",626915,"Agriculture","Female",55,363355,"Maine"
"Maryland",780894,"Agriculture","Female",1252,363978,"Maryland"
"Massachusetts",1457351,"Agriculture","Female",54,867226,"Massachusetts"
"Michigan",1184059,"Agriculture","Female",175,668008,"Michigan"
"Minnesota",439706,"Agriculture","Female",494,229418,"Minnesota"
"Mississippi",827922,"Agriculture","Female",65474,357991,"Mississippi"
"Missouri",1721295,"Agriculture","Female",1323,829896,"Missouri"
"Montana Territory",20595,"Agriculture","Female",1,14967,"Montana"
"Nebraska",122993,"Agriculture","Female",32,61785,"Nebraska"
"Nevada",42491,"Agriculture","Female",7,29803,"Nevada"
"New Hampshire",318300,"Agriculture","Female",11,185992,"New Hampshire"
"New Jersey",906096,"Agriculture","Female",185,454121,"New Jersey"
"New Mexico Territory",91874,"Agriculture","Female",236,31241,"New Mexico"
"New York",4382759,"Agriculture","Female",868,2337763,"New York"
"North Carolina",1071361,"Agriculture","Female",28228,416586,"North Carolina"
"Ohio",2665260,"Agriculture","Female",757,1486513,"Ohio"
"Oregon",90923,"Agriculture","Female",16,48728,"Oregon"
"Pennsylvania",3521951,"Agriculture","Female",1279,1745543,"Pennsylvania"
"Rhode Island",217353,"Agriculture","Female",13,123484,"Rhode Island"
"South Carolina",705606,"Agriculture","Female",58946,304866,"South Carolina"
"Tennessee",1258520,"Agriculture","Female",19067,488692,"Tennessee"
"Texas",818579,"Agriculture","Female",14031,302325,"Texas"
"Utah Territory",86786,"Agriculture","Female",11,36142,"Utah"
"Vermont",330551,"Agriculture","Female",94,178962,"Vermont"
"Virginia",1225163,"Agriculture","Female",16468,483505,"Virginia"
"Washington Territory",23955,"Agriculture","Female",12,13292,"Washington"
"West Virginia",442014,"Agriculture","Female",235,197422,"West Virginia"
"Wisconsin",1054670,"Agriculture","Female",1387,553410,"Wisconsin"
"Wyoming Territory",9118,"Agriculture","Female",1,7009,"Wyoming"
"Alabama",996992,"Manufacturing","Male",15078,442397,"Alabama"
"Arizona Territory",9658,"Manufacturing","Male",883,6179,"Arizona"
"Arkansas",484471,"Manufacturing","Male",5992,198521,"Arkansas"
"California",560247,"Manufacturing","Male",79100,329651,"California"
"Colorado Territory",39864,"Manufacturing","Male",4627,20199,"Colorado"
"Connecticut",537454,"Manufacturing","Male",70276,293053,"Connecticut"
"Dakota Territory",14181,"Manufacturing","Male",439,7015,"Dakota"
"Delaware",125015,"Manufacturing","Male",8437,60278,"Delaware"
"District of Columbia",131700,"Manufacturing","Male",10071,68982,"District of Columbia"
"Florida",187748,"Manufacturing","Male",4025,73481,"Florida"
"Georgia",1184109,"Manufacturing","Male",22262,522171,"Georgia"
"Idaho Territory",14999,"Manufacturing","Male",7262,11345,"Idaho"
"Illinois",2539891,"Manufacturing","Male",124112,1290236,"Illinois"
"Indiana",1680637,"Manufacturing","Male",72073,854598,"Indiana"
"Iowa",1194020,"Manufacturing","Male",44561,650627,"Iowa"
"Kansas",364399,"Manufacturing","Male",17403,186770,"Kansas"
"Kentucky",1321011,"Manufacturing","Male",39939,595798,"Kentucky"
"Louisiana",726915,"Manufacturing","Male",23259,307711,"Louisiana"
"Maine",626915,"Manufacturing","Male",49265,363355,"Maine"
"Maryland",780894,"Manufacturing","Male",56649,363978,"Maryland"
"Massachusetts",1457351,"Manufacturing","Male",221793,867226,"Massachusetts"
"Michigan",1184059,"Manufacturing","Male",77434,668008,"Michigan"
"Minnesota",439706,"Manufacturing","Male",17655,229418,"Minnesota"
"Mississippi",827922,"Manufacturing","Male",9118,357991,"Mississippi"
"Missouri",1721295,"Manufacturing","Male",74588,829896,"Missouri"
"Montana Territory",20595,"Manufacturing","Male",8020,14967,"Montana"
"Nebraska",122993,"Manufacturing","Male",5570,61785,"Nebraska"
"Nevada",42491,"Manufacturing","Male",13632,29803,"Nevada"
"New Hampshire",318300,"Manufacturing","Male",32524,185992,"New Hampshire"
"New Jersey",906096,"Manufacturing","Male",89165,454121,"New Jersey"
"New Mexico Territory",91874,"Manufacturing","Male",1444,31241,"New Mexico"
"New York",4382759,"Manufacturing","Male",397166,2337763,"New York"
"North Carolina",1071361,"Manufacturing","Male",18262,416586,"North Carolina"
"Ohio",2665260,"Manufacturing","Male",179394,1486513,"Ohio"
"Oregon",90923,"Manufacturing","Male",8603,48728,"Oregon"
"Pennsylvania",3521951,"Manufacturing","Male",318049,1745543,"Pennsylvania"
"Rhode Island",217353,"Manufacturing","Male",32865,123484,"Rhode Island"
"South Carolina",705606,"Manufacturing","Male",10871,304866,"South Carolina"
"Tennessee",1258520,"Manufacturing","Male",27138,488692,"Tennessee"
"Texas",818579,"Manufacturing","Male",15063,302325,"Texas"
"Utah Territory",86786,"Manufacturing","Male",3993,36142,"Utah"
"Vermont",330551,"Manufacturing","Male",20593,178962,"Vermont"
"Virginia",1225163,"Manufacturing","Male",43983,483505,"Virginia"
"Washington Territory",23955,"Manufacturing","Male",2638,13292,"Washington"
"West Virginia",442014,"Manufacturing","Male",16827,197422,"West Virginia"
"Wisconsin",1054670,"Manufacturing","Male",49733,553410,"Wisconsin"
"Wyoming Territory",9118,"Manufacturing","Male",1637,7009,"Wyoming"
"Alabama",996992,"Manufacturing","Female",1992,442397,"Alabama"
"Arizona Territory",9658,"Manufacturing","Female",156,6179,"Arizona"
"Arkansas",484471,"Manufacturing","Female",279,198521,"Arkansas"
"California",560247,"Manufacturing","Female",2408,329651,"California"
"Colorado Territory",39864,"Manufacturing","Female",54,20199,"Colorado"
"Connecticut",537454,"Manufacturing","Female",16068,293053,"Connecticut"
"Dakota Territory",14181,"Manufacturing","Female",18,7015,"Dakota"
"Delaware",125015,"Manufacturing","Female",1077,60278,"Delaware"
"District of Columbia",131700,"Manufacturing","Female",1634,68982,"District of Columbia"
"Florida",187748,"Manufacturing","Female",266,73481,"Florida"
"Georgia",1184109,"Manufacturing","Female",4778,522171,"Georgia"
"Idaho Territory",14999,"Manufacturing","Female",11,11345,"Idaho"
"Illinois",2539891,"Manufacturing","Female",9109,1290236,"Illinois"
"Indiana",1680637,"Manufacturing","Female",3984,854598,"Indiana"
"Iowa",1194020,"Manufacturing","Female",2758,650627,"Iowa"
"Kansas",364399,"Manufacturing","Female",723,186770,"Kansas"
"Kentucky",1321011,"Manufacturing","Female",4258,595798,"Kentucky"
"Louisiana",726915,"Manufacturing","Female",2548,307711,"Louisiana"
"Maine",626915,"Manufacturing","Female",12742,363355,"Maine"
"Maryland",780894,"Manufacturing","Female",6677,363978,"Maryland"
"Massachusetts",1457351,"Manufacturing","Female",70872,867226,"Massachusetts"
"Michigan",1184059,"Manufacturing","Female",5203,668008,"Michigan"
"Minnesota",439706,"Manufacturing","Female",933,229418,"Minnesota"
"Mississippi",827922,"Manufacturing","Female",863,357991,"Mississippi"
"Missouri",1721295,"Manufacturing","Female",5262,829896,"Missouri"
"Montana Territory",20595,"Manufacturing","Female",10,14967,"Montana"
"Nebraska",122993,"Manufacturing","Female",193,61785,"Nebraska"
"Nevada",42491,"Manufacturing","Female",157,29803,"Nevada"
"New Hampshire",318300,"Manufacturing","Female",14029,185992,"New Hampshire"
"New Jersey",906096,"Manufacturing","Female",14157,454121,"New Jersey"
"New Mexico Territory",91874,"Manufacturing","Female",851,31241,"New Mexico"
"New York",4382759,"Manufacturing","Female",79609,2337763,"New York"
"North Carolina",1071361,"Manufacturing","Female",2330,416586,"North Carolina"
"Ohio",2665260,"Manufacturing","Female",17616,1486513,"Ohio"
"Oregon",90923,"Manufacturing","Female",91,48728,"Oregon"
"Pennsylvania",3521951,"Manufacturing","Female",38191,1745543,"Pennsylvania"
"Rhode Island",217353,"Manufacturing","Female",14142,123484,"Rhode Island"
"South Carolina",705606,"Manufacturing","Female",2923,304866,"South Carolina"
"Tennessee",1258520,"Manufacturing","Female",1923,488692,"Tennessee"
"Texas",818579,"Manufacturing","Female",816,302325,"Texas"
"Utah Territory",86786,"Manufacturing","Female",114,36142,"Utah"
"Vermont",330551,"Manufacturing","Female",2023,178962,"Vermont"
"Virginia",1225163,"Manufacturing","Female",5430,483505,"Virginia"
"Washington Territory",23955,"Manufacturing","Female",15,13292,"Washington"
"West Virginia",442014,"Manufacturing","Female",846,197422,"West Virginia"
"Wisconsin",1054670,"Manufacturing","Female",3784,553410,"Wisconsin"
"Wyoming Territory",9118,"Manufacturing","Female",27,7009,"Wyoming"
"Alabama",996992,"Trade","Male",14345,442397,"Alabama"
"Arizona Territory",9658,"Trade","Male",588,6179,"Arizona"
"Arkansas",484471,"Trade","Male",5474,198521,"Arkansas"
"California",560247,"Trade","Male",33038,329651,"California"
"Colorado Territory",39864,"Trade","Male",2813,20199,"Colorado"
"Connecticut",537454,"Trade","Male",24511,293053,"Connecticut"
"Dakota Territory",14181,"Trade","Male",204,7015,"Dakota"
"Delaware",125015,"Trade","Male",3347,60278,"Delaware"
"District of Columbia",131700,"Trade","Male",5852,68982,"District of Columbia"
"Florida",187748,"Trade","Male",3016,73481,"Florida"
"Georgia",1184109,"Trade","Male",17336,522171,"Georgia"
"Idaho Territory",14999,"Trade","Male",720,11345,"Idaho"
"Illinois",2539891,"Trade","Male",79876,1290236,"Illinois"
"Indiana",1680637,"Trade","Male",36371,854598,"Indiana"
"Iowa",1194020,"Trade","Male",28151,650627,"Iowa"
"Kansas",364399,"Trade","Male",11736,186770,"Kansas"
"Kentucky",1321011,"Trade","Male",24961,595798,"Kentucky"
"Louisiana",726915,"Trade","Male",23496,307711,"Louisiana"
"Maine",626915,"Trade","Male",27880,363355,"Maine"
"Maryland",780894,"Trade","Male",34567,363978,"Maryland"
"Massachusetts",1457351,"Trade","Male",81077,867226,"Massachusetts"
"Michigan",1184059,"Trade","Male",29493,668008,"Michigan"
"Minnesota",439706,"Trade","Male",10559,229418,"Minnesota"
"Mississippi",827922,"Trade","Male",9076,357991,"Mississippi"
"Missouri",1721295,"Trade","Male",54583,829896,"Missouri"
"Montana Territory",20595,"Trade","Male",1232,14967,"Montana"
"Nebraska",122993,"Trade","Male",4623,61785,"Nebraska"
"Nevada",42491,"Trade","Male",3621,29803,"Nevada"
"New Hampshire",318300,"Trade","Male",8126,185992,"New Hampshire"
"New Jersey",906096,"Trade","Male",45242,454121,"New Jersey"
"New Mexico Territory",91874,"Trade","Male",863,31241,"New Mexico"
"New York",4382759,"Trade","Male",229789,2337763,"New York"
"North Carolina",1071361,"Trade","Male",10094,416586,"North Carolina"
"Ohio",2665260,"Trade","Male",77690,1486513,"Ohio"
"Oregon",90923,"Trade","Male",2611,48728,"Oregon"
"Pennsylvania",3521951,"Trade","Male",116714,1745543,"Pennsylvania"
"Rhode Island",217353,"Trade","Male",9878,123484,"Rhode Island"
"South Carolina",705606,"Trade","Male",8250,304866,"South Carolina"
"Tennessee",1258520,"Trade","Male",17417,488692,"Tennessee"
"Texas",818579,"Trade","Male",13576,302325,"Texas"
"Utah Territory",86786,"Trade","Male",1648,36142,"Utah"
"Vermont",330551,"Trade","Male",7101,178962,"Vermont"
"Virginia",1225163,"Trade","Male",19992,483505,"Virginia"
"Washington Territory",23955,"Trade","Male",1127,13292,"Washington"
"West Virginia",442014,"Trade","Male",6888,197422,"West Virginia"
"Wisconsin",1054670,"Trade","Male",21342,553410,"Wisconsin"
"Wyoming Territory",9118,"Trade","Male",1646,7009,"Wyoming"
"Alabama",996992,"Trade","Female",90,442397,"Alabama"
"Arizona Territory",9658,"Trade","Female",3,6179,"Arizona"
"Arkansas",484471,"Trade","Female",17,198521,"Arkansas"
"California",560247,"Trade","Female",127,329651,"California"
"Colorado Territory",39864,"Trade","Female",2,20199,"Colorado"
"Connecticut",537454,"Trade","Female",209,293053,"Connecticut"
"Dakota Territory",14181,"Trade","Female",0,7015,"Dakota"
"Delaware",125015,"Trade","Female",90,60278,"Delaware"
"District of Columbia",131700,"Trade","Female",274,68982,"District of Columbia"
"Florida",187748,"Trade","Female",7,73481,"Florida"
"Georgia",1184109,"Trade","Female",74,522171,"Georgia"
"Idaho Territory",14999,"Trade","Female",1,11345,"Idaho"
"Illinois",2539891,"Trade","Female",546,1290236,"Illinois"
"Indiana",1680637,"Trade","Female",146,854598,"Indiana"
"Iowa",1194020,"Trade","Female",59,650627,"Iowa"
"Kansas",364399,"Trade","Female",26,186770,"Kansas"
"Kentucky",1321011,"Trade","Female",331,595798,"Kentucky"
"Louisiana",726915,"Trade","Female",335,307711,"Louisiana"
"Maine",626915,"Trade","Female",235,363355,"Maine"
"Maryland",780894,"Trade","Female",975,363978,"Maryland"
"Massachusetts",1457351,"Trade","Female",2001,867226,"Massachusetts"
"Michigan",1184059,"Trade","Female",95,668008,"Michigan"
"Minnesota",439706,"Trade","Female",23,229418,"Minnesota"
"Mississippi",827922,"Trade","Female",72,357991,"Mississippi"
"Missouri",1721295,"Trade","Female",302,829896,"Missouri"
"Montana Territory",20595,"Trade","Female",1,14967,"Montana"
"Nebraska",122993,"Trade","Female",5,61785,"Nebraska"
"Nevada",42491,"Trade","Female",0,29803,"Nevada"
"New Hampshire",318300,"Trade","Female",388,185992,"New Hampshire"
"New Jersey",906096,"Trade","Female",964,454121,"New Jersey"
"New Mexico Territory",91874,"Trade","Female",0,31241,"New Mexico"
"New York",4382759,"Trade","Female",4792,2337763,"New York"
"North Carolina",1071361,"Trade","Female",85,416586,"North Carolina"
"Ohio",2665260,"Trade","Female",857,1486513,"Ohio"
"Oregon",90923,"Trade","Female",8,48728,"Oregon"
"Pennsylvania",3521951,"Trade","Female",4539,1745543,"Pennsylvania"
"Rhode Island",217353,"Trade","Female",230,123484,"Rhode Island"
